#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2005-11-16T04:35:09
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml18178	

#RESOURCE=1239
#Name: I/239
#Title:	The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title:	The Hipparcos Main Catalogue\vizContent{timeSerie}
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	HIP	(I6)	Identifier (HIP number) (H1)        (link)	[ucd=ID_MAIN]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=POS_EQ_RA_MAIN]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=POS_EQ_DEC_MAIN]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=PHOT_JHN_V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=PHOT_JHN_B-V]

recno;HIP;RAhms;DEdms;Vmag;B-V
   25201; 25218;05 23 38.15;-22 18 28.9; 7.45; 0.188
   25210; 25227;05 23 43.64;-08 17 22.5; 7.66; 0.209
   25215; 25231;05 23 46.00;-62 34 54.4; 7.65; 0.700
   25226; 25243;05 23 52.60;-20 43 39.8; 7.54; 1.158
   25228; 25245;05 23 53.89;+11 05 00.9; 7.56; 0.504
   25242; 25259;05 24 08.16;-34 24 55.8; 7.45; 0.204
   25246; 25263;05 24 09.76;-53 25 43.6; 7.60; 0.077
   25252; 25269;05 24 16.13;-43 36 31.8; 7.62; 1.572
   25267; 25284;05 24 30.54;+41 49 37.4; 7.66;-0.036
   25288; 25305;05 24 47.25;+64 43 52.5; 7.64; 0.735
   25323; 25340;05 25 11.40;+01 55 24.0; 7.43;-0.048
   25327; 25344;05 25 13.67;-52 40 37.0; 7.59; 0.946
   25353; 25370;05 25 38.50;+38 02 41.1; 7.43; 0.081
   25370; 25388;05 25 53.29;-06 21 45.5; 7.49; 0.572
   25374; 25392;05 25 54.36;+15 27 14.0; 7.53; 0.011
   25378; 25396;05 25 58.54;-19 41 23.5; 7.53; 0.536
   25384; 25402;05 26 02.69;+15 40 18.5; 7.54; 0.009
   25388; 25406;05 26 04.27;-58 33 41.2; 7.46; 0.132
   25403; 25421;05 26 14.57;-32 30 16.4; 7.70; 0.946
   25417; 25435;05 26 23.04;+03 51 23.4; 7.65; 0.473
   25419; 25437;05 26 24.10;-20 42 55.1; 7.60; 0.400
   25440; 25459;05 26 41.43;-64 19 27.9; 7.48; 0.023
   25452; 25470;05 26 48.30;+13 34 55.9; 7.53;-0.028
   25482; 25500;05 27 10.22;+29 55 15.8; 7.48; 2.230
   25488; 25506;05 27 15.74;-46 05 39.0; 7.67; 0.416
   25515; 25533;05 27 36.88;+01 06 27.3; 7.69;-0.027
   25533; 25551;05 27 44.63;-25 38 12.5; 7.49; 0.140
   25539; 25557;05 27 45.76;-02 08 43.7; 7.52;-0.136
   25541; 25558;05 27 45.92;+33 56 45.4; 7.49; 0.060
   25542; 25560;05 27 47.30;+44 09 57.3; 7.62; 1.509
   25555; 25573;05 27 56.86;-18 00 14.2; 7.57; 0.640
   25558; 25576;05 27 59.05;-38 54 24.3; 7.56; 0.800
   25605; 25623;05 28 26.28;-03 29 51.4; 7.65; 1.113
   25618; 25636;05 28 33.23;-04 41 49.3; 7.48; 0.244
   25627; 25645;05 28 42.09;+01 13 37.3; 7.47; 0.241
   25639; 25657;05 28 50.10;+16 25 36.0; 7.63; 0.057
   25645; 25663;05 28 51.81;-50 42 55.2; 7.59; 1.438
   25668; 25686;05 29 06.85;-05 26 41.5; 7.53; 1.405
   25688; 25706;05 29 22.79;-61 49 24.4; 7.57; 1.063
   25702; 25720;05 29 30.99;-21 02 23.3; 7.48; 0.185
   25705; 25723;05 29 34.74;-44 46 34.3; 7.69; 1.613
   25711; 25729;05 29 39.87;-22 43 07.5; 7.61; 0.996
   25727; 25745;05 29 49.77;+18 24 58.6; 7.64; 0.101
   25744; 25762;05 30 04.38;-01 44 58.6; 7.65;-0.052
   25769; 25787;05 30 23.46;+34 12 02.6; 7.46; 1.057
   25778; 25796;05 30 30.30;-50 05 59.7; 7.60; 1.501
   25781; 25799;05 30 34.68;+00 21 56.1; 7.56; 0.233
   25783; 25801;05 30 35.92;+31 30 39.8; 7.54; 1.770
   25784; 25802;05 30 38.52;+39 49 42.0; 7.62; 0.986
   25808; 25826;05 30 51.77;+10 15 15.8; 7.47;-0.080
   25812; 25830;05 30 52.93;-04 15 16.8; 7.54; 0.140
   25826; 25844;05 31 01.57;+12 05 48.4; 7.59;-0.099
   25837; 25855;05 31 08.90;+51 16 57.9; 7.53; 1.044
   25853; 25871;05 31 22.73;+27 46 08.9; 7.42; 0.631
   25857; 25875;05 31 24.69;+36 46 44.6; 7.45; 1.802
   25862; 25880;05 31 29.09;+54 39 20.0; 7.54; 0.620
   25863; 25881;05 31 29.89;+01 41 24.1; 7.53;-0.129
   25878; 25896;05 31 41.04;+09 13 33.6; 7.45; 0.079
   25879; 25897;05 31 41.22;+02 49 58.2; 7.55;-0.122
   25885; 25903;05 31 43.84;-49 01 06.6; 7.44;-0.111
   25889; 25907;05 31 46.02;+62 59 06.7; 7.61; 0.046
   25892; 25910;05 31 47.53;+48 56 05.5; 7.50; 0.060
   25902; 25920;05 31 52.94;+51 01 41.3; 7.46; 1.429
   25906; 25924;05 31 56.22;+81 03 24.5; 7.62; 1.480
   25919; 25937;05 32 07.03;-06 42 29.9; 7.67;-0.083
   25947; 25965;05 32 22.04;+19 07 21.3; 7.49; 0.501
   25964; 25982;05 32 42.67;-60 07 29.9; 7.67; 0.990
   25976; 25994;05 32 52.86;-63 27 21.8; 7.44; 0.271
   25980; 25998;05 32 56.40;-47 41 20.5; 7.68; 0.135
   25982; 26000;05 32 57.08;-04 33 59.3; 7.65;-0.006
   26006; 26024;05 33 08.91;+03 07 51.9; 7.58;-0.100
   26021; 26039;05 33 17.39;-51 38 30.2; 7.52; 0.293
   26026; 26044;05 33 19.58;+08 32 18.6; 7.70; 1.726
   26042; 26060;05 33 30.36;-24 20 15.0; 7.68; 0.544
   26057; 26075;05 33 40.12;+48 16 39.3; 7.60; 0.822
   26070; 26088;05 33 50.90;+44 47 08.3; 7.69; 0.773
   26106; 26124;05 34 16.40;+56 16 17.1; 7.52; 0.086
   26174; 26192;05 34 58.49;+26 58 20.8; 7.58; 0.549
   26177; 26195;05 34 59.75;+59 31 26.4; 7.69; 0.074
   26184; 26202;05 35 04.69;+15 38 20.6; 7.52;-0.010
   26192; 26210;05 35 09.21;-00 16 10.6; 7.50;-0.116
   26231; 26249;05 35 27.68;+37 54 07.2; 7.58; 0.323
   26249; 26267;05 35 38.12;+48 04 41.2; 7.50; 1.363
   26254; 26272;05 35 40.53;+21 24 11.8; 7.56; 0.133
   26261; 26279;05 35 44.56;+18 45 29.4; 7.63; 1.757
   26266; 26284;05 35 47.72;-25 44 18.6; 7.66; 2.194
   26270; 26288;05 35 53.55;-13 14 42.4; 7.60; 1.568
   26274; 26292;05 35 56.20;-30 32 10.6; 7.62; 0.909
   26305; 26323;05 36 21.67;-57 27 29.2; 7.61; 1.576
   26323; 26341;05 36 33.47;+12 06 02.7; 7.68; 0.944
   26325; 26343;05 36 35.11;-34 43 21.5; 7.61; 1.046
   26346; 26364;05 36 53.26;+38 20 32.4; 7.65; 1.477
   26363; 26381;05 37 02.54;+20 43 54.5; 7.68; 0.667
   26386; 26404;05 37 13.64;-24 24 07.6; 7.68; 0.448
   26408; 26426;05 37 27.05;+56 29 16.2; 7.46; 0.980
   26410; 26428;05 37 27.73;-47 12 04.1; 7.56; 0.997
   26426; 26444;05 37 37.03;+06 06 44.0; 7.64; 0.578
   26428; 26446;05 37 37.18;-08 12 01.4; 7.70; 0.200
   26429; 26447;05 37 37.69;+15 14 40.8; 7.44; 1.043
   26435; 26454;05 37 39.57;-53 32 07.5; 7.42; 0.131
   26439; 26457;05 37 41.48;-26 43 05.3; 7.52; 0.360
   26446; 26464;05 37 45.89;-00 46 41.7; 7.61;-0.125
   26455; 26473;05 37 50.69;-28 56 14.5; 7.43; 1.216
   26459; 26476;05 37 53.45;+00 58 07.0; 7.47;-0.081
   26470; 26488;05 38 01.79;-42 57 50.9; 7.43; 0.600
   26476; 26494;05 38 06.52;-00 11 03.5; 7.46;-0.028
   26481; 26499;05 38 08.96;-47 42 51.6; 7.62; 1.078
   26494; 26512;05 38 16.15;+01 59 16.2; 7.41; 0.995
   26506; 26524;05 38 27.02;-05 02 40.7; 7.64; 0.318
   26516; 26534;05 38 37.80;-16 55 08.5; 7.59; 0.607
   26563; 26581;05 39 02.40;-05 11 40.0; 7.60;-0.120
   26567; 26585;05 39 04.27;+37 58 35.9; 7.51; 0.043
   26572; 26590;05 39 07.54;+14 33 24.3; 7.54; 0.031
   26575; 26593;05 39 11.13;-24 52 50.7; 7.51; 1.416
   26581; 26599;05 39 14.83;+23 19 24.2; 7.52; 1.924
   26583; 26601;05 39 15.16;+30 09 02.0; 7.67; 0.114
   26593; 26611;05 39 24.80;+30 53 26.8; 7.63; 0.057
   26610; 26628;05 39 34.59;-15 52 05.2; 7.42; 1.228
   26639; 26657;05 39 56.09;-41 30 51.2; 7.66; 1.123
   26656; 26674;05 40 06.41;-31 14 45.0; 7.68;-0.035
   26659; 26677;05 40 09.58;+19 40 49.2; 7.63; 0.088
   26665; 26683;05 40 13.54;-01 27 45.3; 7.67;-0.074
   26670; 26688;05 40 17.51;-19 13 36.0; 7.70; 0.417
   26676; 26694;05 40 20.19;-02 26 08.2; 7.62;-0.117
   26691; 26709;05 40 32.61;-07 39 33.9; 7.45; 1.163
   26696; 26714;05 40 39.70;-20 17 55.5; 7.44; 1.060
   26703; 26721;05 40 42.59;-53 13 02.1; 7.58; 0.088
   26738; 26756;05 41 02.67;-02 18 17.3; 7.52; 0.282
   26743; 26761;05 41 05.46;+24 21 00.8; 7.60; 0.519
   26757; 26775;05 41 16.94;-26 20 48.1; 7.54; 0.486
   26767; 26785;05 41 22.40;-06 56 06.7; 7.64;-0.111
   26774; 26792;05 41 25.87;+09 11 54.1; 7.48;-0.140
   26789; 26807;05 41 34.35;+15 12 51.1; 7.67; 0.692
   26817; 26835;05 41 53.61;+04 59 17.6; 7.67; 0.252
   26841; 26859;05 42 08.81;-43 30 30.2; 7.47; 1.261
   26863; 26881;05 42 24.88;-09 35 25.4; 7.66; 1.099
   26885; 26904;05 42 41.65;-67 08 19.5; 7.51; 0.541
   26900; 26919;05 42 50.59;-45 14 07.8; 7.64;-0.090
   26919; 26938;05 42 59.84;+44 51 05.2; 7.57; 0.158
   26942; 26961;05 43 17.17;+41 07 22.4; 7.47; 0.010
   26956; 26975;05 43 26.67;-49 50 32.8; 7.59;-0.135
   26964; 26983;05 43 31.00;-47 32 46.3; 7.63; 1.603
   26969; 26988;05 43 33.77;+61 02 17.7; 7.63; 0.544
   26976; 26995;05 43 37.48;-68 04 53.0; 7.49; 0.969
   26980; 26999;05 43 39.32;-08 56 15.9; 7.61;-0.109
   27001; 27020;05 43 51.08;+11 24 20.5; 7.42; 1.090
   27017; 27036;05 44 03.29;+06 30 56.4; 7.41; 1.060
   27024; 27043;05 44 06.29;-19 34 14.3; 7.67; 0.442
   27035; 27054;05 44 13.63;-55 41 44.2; 7.55; 0.571
   27038; 27057;05 44 17.11;+43 33 22.9; 7.64; 1.040
   27043; 27062;05 44 20.13;-56 54 58.0; 7.51; 0.044
   27074; 27093;05 44 43.46;+03 49 53.1; 7.64; 0.002
   27093; 27112;05 44 56.88;+38 29 55.3; 7.53; 1.203
   27134; 27153;05 45 22.59;+12 47 21.7; 7.46; 0.770
   27150; 27170;05 45 30.61;-55 34 40.8; 7.55; 0.387
   27153; 27172;05 45 31.77;+29 17 54.7; 7.42; 0.644
   27156; 27176;05 45 34.91;+48 59 06.1; 7.49; 1.064
   27169; 27189;05 45 47.88;+37 39 32.5; 7.49; 1.747
   27172; 27191;05 45 49.23;+18 47 32.8; 7.51; 0.098
   27186; 27205;05 46 00.80;+21 19 04.5; 7.70; 0.394
   27187; 27206;05 46 01.15;-61 13 47.6; 7.41; 1.288
   27199; 27218;05 46 08.43;+18 51 38.2; 7.60; 0.403
   27244; 27263;05 46 44.51;+11 03 02.0; 7.60; 0.717
   27247; 27266;05 46 45.79;+20 10 24.9; 7.61; 0.377
   27248; 27267;05 46 45.89;+48 40 10.9; 7.67; 1.301
   27256; 27276;05 46 49.80;+09 39 46.8; 7.67; 1.042
   27258; 27278;05 46 51.47;+47 28 02.6; 7.47; 0.025
   27261; 27281;05 46 52.67;-28 53 23.8; 7.54; 0.553
   27270; 27290;05 46 58.02;-45 38 51.8; 7.41; 0.496
   27298; 27318;05 47 14.00;-12 48 16.9; 7.48; 1.374
   27300; 27320;05 47 15.01;+22 31 44.5; 7.66; 1.060
   27302; 27322;05 47 17.43;+58 58 31.4; 7.66; 0.526
   27311; 27331;05 47 22.19;-38 13 51.3; 7.60; 0.013
   27323; 27343;05 47 29.36;+22 55 21.0; 7.55; 1.137
   27325; 27345;05 47 29.96;+04 06 00.7; 7.65;-0.042
   27328; 27348;05 47 33.54;+02 54 24.3; 7.62; 1.795
   27348; 27368;05 47 46.79;-06 26 06.0; 7.70;-0.101
   27357; 27377;05 47 54.90;+07 57 37.5; 7.63; 0.702
   27362; 27382;05 47 57.78;+24 39 41.6; 7.57; 1.468
   27416; 27436;05 48 35.13;-65 10 06.3; 7.57; 1.138
   27437; 27457;05 48 51.47;-32 25 35.9; 7.57; 0.896
   27442; 27462;05 48 55.57;-46 18 56.4; 7.53; 0.242
   27474; 27494;05 49 19.06;+34 12 38.7; 7.51; 0.935
   27490; 27510;05 49 32.65;-00 40 54.7; 7.62;-0.061
   27512; 27532;05 49 51.13;-43 21 52.9; 7.58;-0.132
   27539; 27559;05 50 11.91;-55 04 53.0; 7.42; 0.369
   27553; 27573;05 50 23.85;+04 57 24.3; 7.41; 0.025
   27556; 27576;05 50 26.74;+75 42 52.9; 7.62; 0.531
   27578; 27598;05 50 37.34;+44 00 41.4; 7.59; 0.175
   27592; 27612;05 50 47.77;+26 03 15.7; 7.62; 0.267
   27593; 27613;05 50 48.19;+27 41 09.4; 7.47; 1.656
   27613; 27633;05 51 00.59;-69 54 08.5; 7.61; 0.470
   27652; 27672;05 51 29.21;+55 15 41.0; 7.54; 0.220
   27674; 27694;05 51 48.25;-19 23 13.1; 7.57; 1.538
   27694; 27714;05 52 07.86;+65 09 28.3; 7.46; 1.266
   27700; 27720;05 52 11.45;-17 33 11.7; 7.68; 0.789
   27709; 27729;05 52 16.94;+07 19 46.0; 7.59; 1.332
   27712; 27732;05 52 17.73;-56 27 46.5; 7.62; 1.140
   27755; 27775;05 52 39.04;+34 16 07.9; 7.46; 0.406
   27772; 27792;05 52 52.82;-45 18 06.8; 7.70; 0.201
   27821; 27841;05 53 26.86;+18 10 11.9; 7.59; 0.494
   27827; 27847;05 53 30.32;+25 04 24.3; 7.50; 1.042
   27853; 27873;05 53 53.07;-37 32 00.4; 7.60; 0.365
   27865; 27885;05 54 03.45;+57 02 44.2; 7.54; 0.422
   27878; 27898;05 54 12.25;-47 11 07.6; 7.45; 1.309
   27892; 27912;05 54 22.48;-01 04 35.4; 7.43; 1.758
   27902; 27922;05 54 30.10;-19 42 15.4; 7.51; 0.700
   27958; 27978;05 55 00.29;-50 59 19.3; 7.58; 0.428
   27960; 27980;05 55 02.02;-00 30 28.3; 7.65; 0.629
   27963; 27983;05 55 04.68;-72 48 52.5; 7.69; 0.908
   27967; 27987;05 55 07.43;-01 55 36.5; 7.44; 0.191
   27998; 28018;05 55 35.18;-18 57 37.0; 7.60; 1.127
   28006; 28026;05 55 38.26;-68 02 49.1; 7.59; 1.178
   28009; 28029;05 55 39.02;+13 00 06.8; 7.69; 1.006
   28016; 28036;05 55 43.15;-38 06 16.3; 7.46; 0.492
   28031; 28051;05 55 54.68;-56 33 18.4; 7.59; 0.969
   28045; 28067;05 56 01.96;+11 31 18.8; 7.55;-0.066
   28076; 28097;05 56 20.67;-39 09 20.3; 7.58; 1.004
   28129; 28151;05 56 54.84;+35 34 44.4; 7.53; 1.303
   28136; 28157;05 57 00.23;+30 36 34.8; 7.70; 1.619
   28152; 28173;05 57 09.13;-53 25 02.3; 7.49; 1.064
   28191; 28212;05 57 39.74;+33 15 37.3; 7.45; 0.548
   28197; 28218;05 57 44.17;-19 23 13.6; 7.57; 1.147
   28204; 28225;05 57 48.97;+14 41 02.8; 7.41; 1.122
   28207; 28228;05 57 50.33;+37 31 05.6; 7.49; 1.275
   28209; 28230;05 57 52.59;-34 28 33.9; 7.55; 0.281
   28214; 28235;05 57 56.51;-31 55 16.4; 7.43; 1.442
   28251; 28272;05 58 24.54;+23 09 21.4; 7.60; 1.047
   28257; 28278;05 58 30.92;-10 50 23.3; 7.57;-0.021
   28340; 28359;05 59 31.79;+18 51 07.7; 7.55; 0.123
   28344; 28364;05 59 32.82;+46 32 05.2; 7.48;-0.076
   28348; 28369;05 59 37.27;-16 47 10.6; 7.63; 0.412
   28378; 28398;05 59 53.60;+03 59 27.6; 7.47; 0.014
   28392; 28412;06 00 02.74;-29 12 22.3; 7.69; 0.927
   28408; 28428;06 00 13.82;+04 50 06.7; 7.46; 0.639
   28411; 28431;06 00 15.01;+15 07 51.9; 7.44; 1.491
   28423; 28443;06 00 20.91;+39 52 38.2; 7.57; 1.045
   28447; 28467;06 00 36.84;+56 55 23.9; 7.46; 1.439
   28449; 28469;06 00 36.97;+29 00 18.9; 7.50; 0.368
   28488; 28508;06 01 05.55;-43 54 11.4; 7.69; 0.559
   28489; 28509;06 01 05.62;+16 59 29.3; 7.69; 0.019
   28491; 28511;06 01 06.24;+41 56 19.0; 7.49; 0.533
   28495; 28515;06 01 08.97;-36 28 08.1; 7.70;-0.019
   28499; 28519;06 01 10.54;+19 25 13.7; 7.45; 0.096
   28507; 28527;06 01 17.57;+45 09 37.8; 7.67; 0.080
   28529; 28549;06 01 37.22;+36 30 55.9; 7.66; 0.023
   28569; 28589;06 02 05.58;+55 18 55.8; 7.57; 1.741
   28595; 28615;06 02 23.39;-18 34 03.2; 7.66; 1.017
   28626; 28646;06 02 56.78;+82 45 04.9; 7.54; 0.489
   28629; 28649;06 02 59.38;+28 40 37.3; 7.57;-0.097
   28631; 28651;06 03 00.70;-23 13 07.4; 7.47; 0.983
   28658; 28678;06 03 17.97;-16 02 35.2; 7.47; 0.534
   28665; 28685;06 03 23.99;-53 53 25.5; 7.46; 1.150
   28678; 28698;06 03 35.48;+33 52 57.3; 7.60; 1.118
   28702; 28721;06 03 59.91;-51 05 54.8; 7.46; 0.153
   28704; 28723;06 04 01.01;+27 34 13.8; 7.62; 0.132
   28758; 28778;06 04 35.08;-14 01 57.3; 7.60; 0.299
   28773; 28793;06 04 43.27;-28 03 38.7; 7.48;-0.033
   28797; 28818;06 05 02.24;+02 06 37.1; 7.65; 0.065
   28821; 28842;06 05 15.99;+73 59 58.9; 7.43; 0.541
   28831; 28852;06 05 24.67;-28 40 38.1; 7.58; 0.451
   28835; 28856;06 05 28.41;-33 30 06.7; 7.44;-0.005
   28857; 28878;06 05 50.04;-43 56 10.7; 7.51; 0.168
   28869; 28890;06 05 58.31;+31 57 02.8; 7.62; 1.165
   28873; 28894;06 06 00.89;+12 28 45.7; 7.70;-0.300
   28883; 28904;06 06 06.55;+28 56 05.2; 7.48; 0.306
   28893; 28914;06 06 12.01;+64 04 54.6; 7.59; 0.549
   28901; 28922;06 06 16.99;+29 05 49.4; 7.49; 1.240
   28911; 28932;06 06 24.06;+26 31 32.1; 7.70; 0.919
   28912; 28933;06 06 24.43;-00 57 48.0; 7.44; 0.467
   28935; 28956;06 06 40.81;+85 17 04.6; 7.50; 1.086
   28946; 28967;06 06 45.56;-31 25 00.5; 7.42; 0.988
   28950; 28971;06 06 51.45;-23 05 37.5; 7.47; 0.148
   28985; 29006;06 07 14.37;+01 30 30.4; 7.51; 0.402
   28988; 29009;06 07 17.13;-37 02 11.6; 7.68; 1.526
   29050; 29071;06 07 56.93;-54 26 21.5; 7.68; 0.978
   29052; 29073;06 07 58.08;+18 24 04.5; 7.68; 0.939
   29066; 29087;06 08 08.65;-25 24 58.5; 7.52; 0.500
   29080; 29101;06 08 17.40;+03 23 18.2; 7.60;-0.028
   29087; 29108;06 08 18.98;+45 33 15.8; 7.43; 0.142
   29115; 29136;06 08 46.51;-43 48 44.1; 7.49;-0.062
   29134; 29155;06 09 01.05;-82 09 27.3; 7.61;-0.015
   29138; 29159;06 09 02.57;-41 07 04.7; 7.43; 0.176
   29144; 29165;06 09 07.19;-15 42 05.9; 7.68;-0.028
   29149; 29170;06 09 09.96;-14 03 55.4; 7.45; 0.313
   29172; 29193;06 09 27.72;-51 23 22.3; 7.51; 0.657
   29183; 29204;06 09 34.33;+38 17 45.2; 7.65; 0.070
   29196; 29216;06 09 39.57;+20 29 15.5; 7.55; 0.014
   29199; 29220;06 09 41.74;-22 07 08.3; 7.41; 1.245
   29220; 29241;06 09 56.16;-25 37 33.0; 7.66; 0.568
   29235; 29256;06 10 07.55;-29 49 07.0; 7.49;-0.104
   29238; 29259;06 10 09.31;+03 18 47.1; 7.50; 1.158
   29240; 29261;06 10 10.05;+06 19 12.6; 7.66; 0.264
   29264; 29285;06 10 27.96;-48 57 22.9; 7.65; 0.488
   29276; 29297;06 10 36.03;-58 51 15.9; 7.69; 1.418
   29281; 29302;06 10 39.42;+32 02 54.1; 7.67; 0.039
   29286; 29307;06 10 42.72;-73 00 47.3; 7.64; 0.166
   29293; 29314;06 10 52.87;-61 29 59.6; 7.45; 0.385
   29300; 29321;06 10 59.17;+11 59 41.5; 7.46;-0.059
   29304; 29325;06 11 01.64;-31 46 26.2; 7.66; 1.253
   29306; 29327;06 11 02.21;-07 17 03.3; 7.61;-0.122
   29311; 29332;06 11 03.66;+41 13 57.1; 7.64; 0.125
   29323; 29344;06 11 13.16;+15 33 43.1; 7.59; 1.080
   29324; 29345;06 11 13.20;+44 57 07.5; 7.42; 0.891
   29339; 29360;06 11 18.08;+21 33 49.7; 7.41; 0.343
   29343; 29364;06 11 21.51;+14 28 30.3; 7.59; 1.311
   29354; 29375;06 11 30.48;+44 08 04.7; 7.55; 0.246
   29368; 29389;06 11 36.96;-27 55 41.3; 7.66; 0.430
   29400; 29421;06 11 54.17;+71 07 50.6; 7.48; 0.484
   29419; 29440;06 12 12.29;+04 40 25.5; 7.46;-0.043
   29425; 29446;06 12 15.94;+10 20 00.3; 7.49;-0.062
   29428; 29449;06 12 17.70;-25 14 42.2; 7.51; 0.368
   29439; 29460;06 12 27.14;-10 29 17.9; 7.55; 1.352
   29444; 29465;06 12 29.44;-13 37 25.1; 7.56; 0.000
   29445; 29466;06 12 30.89;-29 01 04.5; 7.44; 0.500
   29451; 29472;06 12 35.59;+47 25 13.7; 7.51; 0.044
   29468; 29489;06 12 50.90;-10 17 21.1; 7.61; 1.576
   29482; 29503;06 12 58.38;+77 17 12.5; 7.47; 0.953
   29495; 29516;06 13 03.77;+03 30 32.6; 7.50;-0.092
   29501; 29522;06 13 10.84;+19 00 33.4; 7.41;-0.066
   29519; 29540;06 13 30.44;+09 37 43.2; 7.58;-0.130
   29552; 29573;06 13 52.72;+02 48 34.2; 7.41; 0.992
   29554; 29574;06 13 54.25;-66 10 25.9; 7.67; 0.994
   29557; 29578;06 13 56.27;-06 49 23.3; 7.47;-0.037
   29567; 29588;06 14 08.53;+67 50 15.5; 7.69; 1.395
   29568; 29589;06 14 08.93;+23 59 11.4; 7.53; 0.355
   29572; 29593;06 14 11.98;-41 39 38.3; 7.70; 0.457
   29583; 29604;06 14 19.01;-19 31 31.4; 7.56; 1.640
   29585; 29606;06 14 20.39;+39 40 23.0; 7.69; 0.137
   29593; 29614;06 14 26.53;+11 48 49.0; 7.64; 0.060
   29618; 29639;06 14 46.20;+57 46 28.9; 7.57; 1.474
   29636; 29658;06 14 54.67;-30 51 12.2; 7.63; 0.307
   29643; 29665;06 14 57.63;+16 44 45.8; 7.64; 0.256
   29646; 29667;06 14 58.68;+46 23 44.8; 7.52;-0.039
   29651; 29672;06 15 03.94;-08 37 37.8; 7.57; 0.539
   29662; 29683;06 15 12.05;+08 26 46.7; 7.48; 1.029
   29664; 29685;06 15 13.63;+06 30 57.4; 7.69; 0.029
   29698; 29719;06 15 35.70;+07 39 08.2; 7.54;-0.030
   29702; 29723;06 15 38.50;+36 08 46.1; 7.46; 0.390
   29712; 29733;06 15 41.78;-20 12 06.1; 7.59; 1.188
   29717; 29738;06 15 46.45;-06 12 30.4; 7.48;-0.091
   29722; 29743;06 15 51.78;+42 02 06.4; 7.49; 1.258
   29737; 29758;06 16 01.00;+06 32 09.3; 7.64; 0.379
   29740; 29761;06 16 02.70;+70 46 57.6; 7.43; 0.776
   29756; 29777;06 16 12.55;+56 56 05.3; 7.48; 0.599
   29761; 29782;06 16 14.78;+00 00 55.0; 7.47;-0.070
   29772; 29793;06 16 22.20;+28 51 07.3; 7.41; 0.411
   29773; 29794;06 16 22.92;-09 56 06.6; 7.60; 1.257
   29791; 29812;06 16 41.90;-69 04 34.0; 7.49; 1.256
   29799; 29820;06 16 48.04;-54 37 01.3; 7.67; 1.353
   29808; 29829;06 16 52.92;-18 36 24.4; 7.48; 0.605
   29824; 29845;06 17 04.70;-55 24 52.9; 7.62; 0.060
   29836; 29857;06 17 14.78;+46 01 42.4; 7.64; 0.304
   29838; 29859;06 17 15.40;-05 20 37.3; 7.68; 0.231
   29850; 29871;06 17 21.83;+45 51 38.2; 7.59; 0.990
   29857; 29878;06 17 30.15;+32 15 48.1; 7.66; 0.483
   29866; 29887;06 17 36.23;+01 46 29.9; 7.68;-0.108
   29867; 29888;06 17 37.39;-24 26 40.0; 7.49; 0.468
   29870; 29891;06 17 39.11;+40 18 36.0; 7.56; 0.979
   29883; 29904;06 17 46.75;+40 11 19.1; 7.47;-0.024
   29886; 29907;06 17 49.79;-64 01 48.9; 7.53;-0.069
   29888; 29909;06 17 50.87;+19 27 25.9; 7.52;-0.048
   29890; 29911;06 17 51.52;+32 30 16.6; 7.50; 0.422
   29891; 29912;06 17 51.60;-31 00 33.1; 7.45; 1.160
   29933; 29954;06 18 20.73;-69 09 44.0; 7.60; 0.450
   29942; 29963;06 18 26.93;-48 02 19.1; 7.43; 1.618
   29949; 29970;06 18 32.43;-53 37 51.6; 7.55; 0.932
   29986; 30007;06 18 57.93;-22 02 06.0; 7.66; 0.012
   29993; 30014;06 18 59.63;+12 42 05.1; 7.41; 0.054
   30000; 30021;06 19 02.96;+59 33 34.1; 7.41; 0.931
   30005; 30026;06 19 06.31;-03 44 48.9; 7.61; 0.098
   30034; 30055;06 19 28.87;+13 26 54.1; 7.67; 1.130
   30049; 30070;06 19 41.14;+12 17 33.7; 7.65;-0.107
   30065; 30086;06 19 55.10;-07 15 02.3; 7.61;-0.046
   30081; 30102;06 20 05.06;+24 34 00.3; 7.64; 0.602
   30093; 30114;06 20 14.28;-10 43 29.9; 7.69; 0.687
   30096; 30117;06 20 16.02;+42 47 59.8; 7.64; 0.958
   30097; 30118;06 20 16.27;-02 03 16.6; 7.57; 0.037
   30108; 30129;06 20 24.49;+80 21 23.8; 7.54; 0.480
   30118; 30139;06 20 34.48;+18 02 56.8; 7.58; 1.230
   30121; 30142;06 20 35.32;+25 36 29.7; 7.57; 1.414
   30133; 30154;06 20 42.75;+05 16 42.4; 7.56; 0.315
